split_seed,row,n_initializations,n_registered_cams,evaluation_mask_sha256,overall_reprojection_px_init_mean,overall_reprojection_px_init_std,cube_reprojection_px_init_mean,cube_reprojection_px_init_std,board_reprojection_px_init_mean,board_reprojection_px_init_std,e_e2e_translation_mm_init_mean,e_e2e_translation_mm_init_std,e_e2e_rotation_deg_init_mean,e_e2e_rotation_deg_init_std,e_cross_translation_mm_init_mean,e_cross_translation_mm_init_std,e_cross_rotation_deg_init_mean,e_cross_rotation_deg_init_std,cam_0_reprojection_px_init_mean,cam_0_reprojection_px_init_std,cam_1_reprojection_px_init_mean,cam_1_reprojection_px_init_std,cam_2_reprojection_px_init_mean,cam_2_reprojection_px_init_std,cam_3_reprojection_px_init_mean,cam_3_reprojection_px_init_std
20260730,A3,5,3,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,4.399699755193604,7.753619038292592e-05,7.021801797159803,3.101923205022496e-05,1.556118496424612,0.00026923274581457633,15.98877990564624,0.0003941438093209801,7.3037796927850565,7.901880513957652e-05,36.210199614333156,0.00026876249454102394,33.71901718950664,2.3350418683723662e-05,10.24990236170714,1.945281479976962e-05,0.6810767955259867,3.613717589325214e-05,1.7149342314408904,0.00028742907531920683,0.9834809872114321,1.8815372516681132e-05
20260730,B1,5,3,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,4.405983131470305,6.8247065205741376e-06,7.034025815899959,8.86691121116748e-06,1.552726413208371,1.9370394728413576e-05,15.988600747907986,9.034676041564254e-05,7.300618786622006,1.2498483841572191e-05,36.28243751368895,0.000148846015831503,33.71948293365862,1.3438519985784636e-05,10.271435906177615,1.2724697961650297e-05,0.7165256399329832,1.80571308016455e-05,1.7045771603144904,1.675858937549373e-05,0.9834628959510077,8.452904928405116e-06
20260730,B2,5,3,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,6.993761011690486,1.8058145947667518e-05,6.993761011690486,1.8058145947667518e-05,,,15.557737963047563,0.00036572451515436166,7.3299466547281495,9.083334975963166e-05,36.02797451535398,0.00017074492726822354,33.71191097986815,1.7565603889533278e-05,13.276899153834805,2.2525914316795085e-05,0.7192965066341933,5.025201715908045e-06,1.815554692091451,0.00015499824136402834,0.9834934265172824,1.5781875002847573e-05
20260730,B3,5,2,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,1.5268866130783318,9.47675993433494e-06,,,1.5268866130783318,9.47675993433494e-06,,,,,,,,,0.30817794459894265,3.543112732044546e-06,0.4511714623779309,4.303977390850182e-05,1.6479751263739195,1.0720113139103498e-05,,
20260731,A0,5,2,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,1.279888703289187,3.240185003268655e-06,,,1.279888703289187,3.240185003268655e-06,,,,,,,,,0.3108896677039761,3.756448989719367e-07,0.46005628078953087,1.9556198103353992e-06,1.3765777734462425,3.556815518838261e-06,,
20260731,A1,5,3,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,3.936734350572023,9.664409786092697e-06,6.287392330517241,1.6609012646832925e-05,1.2884313160404264,5.34409173783356e-06,14.578907842860536,0.0001603643755679646,6.852046439660461,4.663377784987049e-05,34.58963140708572,0.0010245740161026872,27.221898716704892,3.4359477490592e-05,9.252491932206196,1.5433993776135072e-05,1.0025354376359883,5.737900650579239e-05,1.4901096627289745,1.09041966088871e-05,1.1105833393928217,0.0002653844548522658
20260731,A2,5,3,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,3.8111679901779305,8.05837464748133e-06,6.072892300482977,9.252127891535097e-06,1.2859088932734513,2.9730701613931055e-05,14.429296578594185,0.00017365063005446104,6.852442836379909,0.0002719606481036308,33.8341657677341,0.0007160220637749471,27.23391367443017,0.0002086682162940199,8.935690368618626,1.8654575953983025e-05,0.8540430177829046,2.2379534297356985e-05,1.5028041588686267,2.6550207814804554e-05,0.8602878804404188,0.00019948757803193892
20260731,A3,5,3,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,3.9577250216099413,7.767174003841001e-06,6.315690613759637,1.4220964691576328e-05,1.3098967468727865,3.1163577566256716e-05,14.405979415531615,0.00032839005693499146,6.832886167370911,0.0001594868661143569,32.677470165500736,0.00021643074479612133,27.21900843273925,1.7157967986665967e-05,9.32088172439262,1.9944737653388646e-05,0.7120171247129943,6.80988959345672e-05,1.5077099438798522,5.672260858688317e-05,0.976103383600139,4.998784432700478e-06
20260731,B1,5,3,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,3.9637191865966,1.2496630049817876e-05,6.326354678534907,2.1931056872925783e-05,1.3088268692965819,1.8009692367735016e-06,14.384939115019785,0.00012090407351188745,6.8248400506896925,2.6042855374266984e-05,32.75021670390883,0.0003641294723586362,27.21976191665315,1.923354756325394e-05,9.34316659070144,3.312486150132006e-05,0.7455198813510252,9.25245663799422e-06,1.4950344001254827,1.8091665544469045e-06,0.9760980879400742,1.2042576428953649e-05
20260731,B2,5,3,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,6.281669503591523,2.432236136601193e-05,6.281669503591523,2.432236136601193e-05,,,13.903079428133434,0.0002783228127813212,6.866729055620999,0.00014830112677716043,32.47177744785069,0.0002761140755063453,27.211336085858044,1.6474015558725317e-05,12.020084740553534,3.6976141431896454e-05,0.7522332075851064,9.212865528727134e-06,1.7654448124479862,0.0001802279864752613,0.9760968614083042,1.5767739999032737e-05
