event_id,camera_id,set_idx,is_gripper_camera,detected_marker_ids,marker_ids,observed_faces,observed_face_count,noncoplanar_face_count,is_planar,quality_tier,pnp_rmse_px,pnp_inlier_fraction,pnp_solver,positive_depth_candidate_count,pnp_candidate_count,pnp_accepted,detection_method,redetection_attempted,redetection_selected,recovered_core_observation,redetection_max_rmse_px,detection_candidate_count,baseline_detected_marker_ids,baseline_marker_ids,baseline_quality_tier,baseline_pnp_rmse_px,legacy_policy_selected,core_multiface_selected,selected_for_calibration,selection_reason,status
37,2,6,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.8744894449618358,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,0.8744894449618358,True,True,True,selected,accepted
38,2,6,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,2.2642974260986173,0.9375,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,2.2642974260986173,True,True,True,selected,accepted
39,2,6,True,1;3;4,1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.8228980567383534,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3;4,1;3;4,nonplanar_multiface,0.8228980567383534,True,True,True,selected,accepted
40,2,6,True,3,3,+Y,1,0,True,single_marker,1.0839401574101044,1.0,IPPE,2,2,True,native_relaxed_subpixel,True,True,False,3.0,5,,,none,,True,False,False,noncore_single_marker,accepted
41,2,6,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.1666049390331938,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.1666049390331938,True,True,True,selected,accepted
42,0,7,False,3;4,3;4,+Y;-X,2,2,False,nonplanar_multiface,0.6779540767458299,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,3;4,3;4,nonplanar_multiface,0.6779540767458299,True,True,True,selected,accepted
42,1,7,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.6319504480564399,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,0.6319504480564399,True,True,True,selected,accepted
42,2,7,True,1;3,1;3,+Y;+Z,2,2,False,nonplanar_multiface,0.6540676347777638,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3,1;3,nonplanar_multiface,0.6540676347777638,True,True,True,selected,accepted
42,3,7,False,0;4;5,0;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.3320464569317267,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;4;5,0;4;5,nonplanar_multiface,1.3320464569317267,True,True,True,selected,accepted
43,2,7,True,0;1;2;3,0;1;2;3,+X;+Y;+Z,3,3,False,nonplanar_multiface,1.486259618135774,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;3,0;1;2;3,nonplanar_multiface,1.486259618135774,True,True,True,selected,accepted
44,2,7,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.5370869306214172,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,1.5370869306214172,True,True,True,selected,accepted
45,2,7,True,0;1;2,0;1;2,+X;+Z,2,2,False,nonplanar_multiface,1.2641678871154443,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2,0;1;2,nonplanar_multiface,1.2641678871154443,True,True,True,selected,accepted
46,2,7,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.9890283147658061,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,0.9890283147658061,True,True,True,selected,accepted
47,2,7,True,0;1;3,0;1;3,+Y;+Z,2,2,False,nonplanar_multiface,0.43983887239088426,1.0,RANSAC-EPNP+LM,1,1,True,up2_unsharp_relaxed,True,True,True,3.0,5,3,3,single_marker,0.13429695044429568,True,True,True,selected,accepted
48,0,8,False,1;4;5,1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,0.9031021606794387,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;4;5,1;4;5,nonplanar_multiface,0.9031021606794387,True,True,True,selected,accepted
48,1,8,False,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.0143030288794768,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,1.0143030288794768,True,True,True,selected,accepted
48,2,8,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,0.9354911840250201,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,0.9354911840250201,True,True,True,selected,accepted
48,3,8,False,0;5,0;5,+Z;-Y,2,2,False,nonplanar_multiface,0.9064935379317288,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;5,0;5,nonplanar_multiface,0.9064935379317288,True,True,True,selected,accepted
49,2,8,True,0;1;5,0;1;5,+Z;-Y,2,2,False,nonplanar_multiface,1.2155946824941093,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;5,0;1;5,nonplanar_multiface,1.2155946824941093,True,True,True,selected,accepted
50,2,8,True,0;1;4,0;1;4,+Z;-X,2,2,False,nonplanar_multiface,1.0553979257577635,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4,0;1;4,nonplanar_multiface,1.0553979257577635,True,True,True,selected,accepted
51,2,8,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.0963887658032776,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.0963887658032776,True,True,True,selected,accepted
52,2,8,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.0542385775020626,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.0542385775020626,True,True,True,selected,accepted
53,2,8,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.094898769214372,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.094898769214372,True,True,True,selected,accepted
54,0,9,False,1;3;4,1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.7899849072831475,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3;4,1;3;4,nonplanar_multiface,0.7899849072831475,True,True,True,selected,accepted
54,1,9,False,0;1;2;3,0;1;2;3,+X;+Y;+Z,3,3,False,nonplanar_multiface,1.1578564966584026,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;3,0;1;2;3,nonplanar_multiface,1.1578564966584026,True,True,True,selected,accepted
54,2,9,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.8907332451921346,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,0.8907332451921346,True,True,True,selected,accepted
54,3,9,False,4;5,4;5,-X;-Y,2,2,False,nonplanar_multiface,1.2790453956375045,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,4;5,4;5,nonplanar_multiface,1.2790453956375045,True,True,True,selected,accepted
55,2,9,True,0;1;4,0;1;4,+Z;-X,2,2,False,nonplanar_multiface,1.5370159668645502,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4,0;1;4,nonplanar_multiface,1.5370159668645502,True,True,True,selected,accepted
56,2,9,True,0;3,0;3,+Y;+Z,2,2,False,nonplanar_multiface,1.0935414877440908,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;3,0;3,nonplanar_multiface,1.0935414877440908,True,True,True,selected,accepted
57,2,9,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.4283627025608472,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,1.4283627025608472,True,True,True,selected,accepted
58,2,9,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.3029432527997549,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,1.3029432527997549,True,True,True,selected,accepted
59,2,9,True,0;1;3,0;1;3,+Y;+Z,2,2,False,nonplanar_multiface,0.6730204870430473,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3,0;1;3,nonplanar_multiface,0.6730204870430473,True,True,True,selected,accepted
60,0,10,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.7461774413336356,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,0.7461774413336356,True,True,True,selected,accepted
60,1,10,False,0;1;2;5,0;1;2;5,+X;+Z;-Y,3,3,False,nonplanar_multiface,1.24123963000851,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;5,0;1;2;5,nonplanar_multiface,1.24123963000851,True,True,True,selected,accepted
60,2,10,True,0;1;2;3,0;1;2;3,+X;+Y;+Z,3,3,False,nonplanar_multiface,1.025507728217094,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;3,0;1;2;3,nonplanar_multiface,1.025507728217094,True,True,True,selected,accepted
60,3,10,False,0;3;4,0;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.8140799616598496,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;3;4,0;3;4,nonplanar_multiface,0.8140799616598496,True,True,True,selected,accepted
61,2,10,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.246158715242053,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,1.246158715242053,True,True,True,selected,accepted
