method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A1,54,9,cube,3,295,295,1.0,-8.915578198006338,11.009895617860153,11.177533755785374,13.936843304184524,"[-0.42506634051084213, 0.3640767007122642, 0.006700499331144188]"
A1,72,12,board,0,678,678,1.0,-6.7995356675002645,6.7995356675002645,7.185144054117565,10.284233172058618,"[-0.2817933083693141, 0.4644027713137472, -0.022964665808605737]"
A1,72,12,cube,0,270,270,1.0,-1.2591119836273053,2.412136360595957,3.0650758751375546,5.933395660863244,"[-0.23049734339866518, 0.2824149165083167, 0.014863919888969002]"
A1,72,12,board,1,602,602,1.0,7.704194029745775,7.704194029745775,7.734079246915813,9.182000148545665,"[-0.2832972759885218, 0.434368539628294, -0.02370549791407402]"
A1,72,12,cube,1,397,397,1.0,11.65099542753386,11.65099542753386,11.094644747480167,13.366729401027882,"[-0.2481100588419551, 0.2696594708303904, 0.009846037209931057]"
A1,72,12,board,2,1187,1187,1.0,12.097391709698453,12.097391709698453,14.433096293345509,24.16465851651575,"[-0.27589088795550093, 0.45345430301465917, -0.0027308036315219827]"
A1,72,12,cube,2,245,245,1.0,4.9288665849907884,5.81666793417212,6.028336682253529,9.270370835373669,"[-0.22084935381788348, 0.2744561801248219, 0.03285055910595457]"
A1,72,12,board,3,529,529,1.0,-8.532418763238198,8.532418763238198,8.635794958109699,10.389652859309248,"[-0.2776843987640419, 0.502102962659022, -0.0248036018936344]"
A1,72,12,cube,3,173,173,1.0,15.903629353364469,16.593250662682742,16.663566995768615,20.137000706480542,"[-0.2444590954350544, 0.27737030642283805, 0.008752236610307482]"
A2,24,4,board,0,546,546,1.0,6.26703084190893,6.26703084190893,6.766543168124336,10.23010435054632,"[-0.27495353740404355, 0.48466942322197093, -0.022709515575843654]"
A2,24,4,cube,0,273,273,1.0,8.923639934366168,8.923639934366168,8.994337546552513,10.682470457782953,"[-0.21911843120014435, 0.6363590867107184, 0.0053725516743242776]"
A2,24,4,board,1,451,451,1.0,-5.600028027742058,5.600028027742058,5.607314359641092,6.962974806435561,"[-0.2872809865619307, 0.40596817917557115, -0.021407708184917548]"
A2,24,4,cube,1,156,156,1.0,9.965709338870269,9.965709338870269,9.808544630719927,12.089687401034157,"[-0.22905318221822094, 0.6318736981466222, 0.006516911633697761]"
A2,24,4,board,2,1196,1196,1.0,2.99212916398373,3.02047237878566,5.840626179041368,11.52551674517919,"[-0.26804968452946487, 0.4481904889313516, -0.01232780627819738]"
A2,24,4,cube,2,201,201,1.0,-9.457863018336624,9.457863018336624,9.646072234057888,14.003812905407138,"[-0.20398518693829903, 0.6144090735466818, 0.022644276284976672]"
A2,24,4,board,3,568,568,1.0,8.317745518926927,8.317745518926927,8.402982264803905,9.78216743493133,"[-0.28766040866207504, 0.49351660301940636, -0.024718202236685118]"
A2,24,4,cube,3,320,320,1.0,-8.318465109792347,8.318465109792347,7.637290330548909,10.181666094061967,"[-0.23463135071940075, 0.6508108492104873, 0.007906375463485495]"
A2,54,9,board,0,754,754,1.0,6.237527458911133,6.237527458911133,6.702686871494701,10.262361289008979,"[-0.28630549926663085, 0.46428347799667086, -0.02251185882444169]"
A2,54,9,cube,0,150,150,1.0,0.2674333759133564,7.075639777481582,7.309026855950075,11.878092954682101,"[-0.41107642658511345, 0.3601565330874794, 0.008592301146737898]"
A2,54,9,board,1,467,467,1.0,-5.70880569664341,5.70880569664341,5.7276601223342425,7.014967524200884,"[-0.28562469329275464, 0.4129618056557376, -0.021586837749410007]"
A2,54,9,cube,1,382,382,1.0,7.473724649569813,7.473724649569813,7.4996653233882915,8.780799532672603,"[-0.4357862599332133, 0.34789328533426156, 0.01330428214699355]"
A2,54,9,board,2,1193,1193,1.0,10.094123569706882,10.094123569706882,11.809109987154072,18.828156114298636,"[-0.2741571565225452, 0.4529582551361092, -0.005267095598927208]"
A2,54,9,cube,2,198,198,1.0,6.214314687879555,7.647053628653453,7.8798351680589604,10.754695982589443,"[-0.3949113231202338, 0.3542005729397815, 0.027458620298340234]"
A2,54,9,board,3,606,606,1.0,-8.135437165123012,8.135437165123012,8.183386358182469,9.645357078776138,"[-0.28342038281557896, 0.49751332553140604, -0.02452586133150613]"
A2,54,9,cube,3,295,295,1.0,-10.009726667146106,10.64801304500628,10.800029506545108,13.587825755226557,"[-0.42505700798870083, 0.364308501261809, 0.007116157424628567]"
A2,72,12,board,0,678,678,1.0,-6.587775331081739,6.587775331081739,6.958405559206423,10.041063843067874,"[-0.28154726740652003, 0.4643247225419524, -0.022827076605383422]"
